Team	|	Lineup
BKN		|	("Royce O'Neale", 'Kevin Durant', 'Nic Claxton', 'Joe Harris', 'Edmond Sumner')
BKN		|	('Kevin Durant', "Royce O'Neale", 'Nic Claxton', 'Joe Harris', 'Edmond Sumner')
BKN		|	('Kevin Durant', "Royce O'Neale", 'Ben Simmons', 'Joe Harris', 'Kyrie Irving')
BKN		|	('Kessler Edwards', 'Markieff Morris', "Day'Ron Sharpe", 'Patty Mills', 'Edmond Sumner')
BKN		|	('Kevin Durant', 'Joe Harris', 'Nic Claxton', 'Kyrie Irving', 'Ben Simmons')
BKN		|	('Kevin Durant', "Royce O'Neale", 'Nic Claxton', 'Joe Harris', 'Ben Simmons')
BKN		|	('Kevin Durant', "Royce O'Neale", 'Nic Claxton', 'Ben Simmons', 'Kyrie Irving')
BKN		|	('Kevin Durant', 'Ben Simmons', 'Nic Claxton', 'Seth Curry', 'Kyrie Irving')
BKN		|	('Joe Harris', "Royce O'Neale", 'Nic Claxton', 'Kyrie Irving', 'Ben Simmons')
BKN		|	('Joe Harris', "Royce O'Neale", 'Nic Claxton', 'Kyrie Irving', 'Edmond Sumner')
BKN		|	('Joe Harris', "Royce O'Neale", 'Nic Claxton', 'Seth Curry', 'Ben Simmons')
BKN		|	('Joe Harris', "Royce O'Neale", 'Nic Claxton', 'Seth Curry', 'Kyrie Irving')
BKN		|	('Joe Harris', "Royce O'Neale", 'Nic Claxton', 'Seth Curry', 'Edmond Sumner')
BKN		|	('Joe Harris', "Royce O'Neale", 'Nic Claxton', 'Cam Thomas', 'Edmond Sumner')
BKN		|	('Joe Harris', "Royce O'Neale", 'Nic Claxton', 'Cam Thomas', 'Ben Simmons')
BKN		|	('Dorian Finney-Smith', "Royce O'Neale", "Day'Ron Sharpe", 'Cam Thomas', 'Spencer Dinwiddie')
BKN		|	('Cameron Johnson', 'Dorian Finney-Smith', 'Nic Claxton', 'Mikal Bridges', 'Spencer Dinwiddie')
BKN		|	('Joe Harris', 'Dorian Finney-Smith', 'Nerlens Noel', 'Mikal Bridges', 'Seth Curry')
BKN		|	('Cameron Johnson', "Royce O'Neale", 'Nic Claxton', 'Mikal Bridges', 'Spencer Dinwiddie')
BKN		|	('Cam Thomas', 'Yuta Watanabe', "Day'Ron Sharpe", 'Mikal Bridges', 'Patty Mills')
BKN		|	('Kevin Durant', 'Blake Griffin', 'Nic Claxton', 'Joe Harris', 'James Harden')
BKN		|	('Kevin Durant', 'Joe Harris', 'Nic Claxton', 'Jevon Carter', 'James Harden')
BKN		|	('Kevin Durant', 'Bruce Brown', 'Blake Griffin', 'Joe Harris', 'James Harden')
BKN		|	('Kevin Durant', 'Bruce Brown', 'Blake Griffin', 'Patty Mills', 'James Harden')
BKN		|	("DeAndre' Bembry", 'Bruce Brown', 'Blake Griffin', 'Patty Mills', 'James Harden')
BKN		|	('Kevin Durant', "DeAndre' Bembry", 'Blake Griffin', 'Patty Mills', 'James Harden')
BKN		|	('Kevin Durant', "DeAndre' Bembry", 'LaMarcus Aldridge', 'Patty Mills', 'James Harden')
BKN		|	("DeAndre' Bembry", 'James Johnson', 'Nic Claxton', 'Patty Mills', 'James Harden')
BKN		|	('Kevin Durant', 'James Johnson', 'LaMarcus Aldridge', "DeAndre' Bembry", 'Patty Mills')
BKN		|	('Kevin Durant', 'Blake Griffin', 'Nic Claxton', 'David Duke Jr.', 'Patty Mills')
BKN		|	('David Duke Jr.', 'Kessler Edwards', 'Blake Griffin', 'Cam Thomas', 'Patty Mills')
BKN		|	('Kessler Edwards', 'James Johnson', 'LaMarcus Aldridge', "DeAndre' Bembry", 'Patty Mills')
BKN		|	('Bruce Brown', 'Kessler Edwards', 'Andre Drummond', 'Seth Curry', 'Patty Mills')
BKN		|	('Kevin Durant', "DeAndre' Bembry", 'Nic Claxton', 'David Duke Jr.', 'Kyrie Irving')
BKN		|	('Bruce Brown', "DeAndre' Bembry", 'Nic Claxton', 'Patty Mills', 'James Harden')
BKN		|	('Kevin Durant', 'Nic Claxton', 'LaMarcus Aldridge', 'Patty Mills', 'James Harden')
BKN		|	('Kevin Durant', 'Bruce Brown', 'LaMarcus Aldridge', 'Patty Mills', 'James Harden')
BKN		|	('Kevin Durant', "DeAndre' Bembry", 'Nic Claxton', 'Patty Mills', 'James Harden')
BKN		|	('Kevin Durant', 'David Duke Jr.', 'Nic Claxton', 'Kyrie Irving', 'James Harden')
BKN		|	('Kevin Durant', 'David Duke Jr.', 'Nic Claxton', 'Patty Mills', 'James Harden')
BKN		|	('Kevin Durant', 'Kessler Edwards', "Day'Ron Sharpe", 'Kyrie Irving', 'James Harden')
BKN		|	("DeAndre' Bembry", 'Kessler Edwards', "Day'Ron Sharpe", 'Bruce Brown', 'James Harden')
BKN		|	('Kevin Durant', 'Kessler Edwards', "Day'Ron Sharpe", 'Patty Mills', 'James Harden')
BKN		|	('Patty Mills', 'Kessler Edwards', "Day'Ron Sharpe", 'Kyrie Irving', 'James Harden')
BKN		|	("DeAndre' Bembry", 'Kessler Edwards', "Day'Ron Sharpe", 'Patty Mills', 'James Harden')
BKN		|	('Bruce Brown', 'James Johnson', 'Andre Drummond', 'Seth Curry', 'Patty Mills')
BKN		|	("DeAndre' Bembry", 'Kessler Edwards', 'Nic Claxton', 'Kyrie Irving', 'Patty Mills')
BKN		|	('Patty Mills', 'Kessler Edwards', 'Nic Claxton', 'Kyrie Irving', 'James Harden')
BKN		|	('Kessler Edwards', 'James Johnson', 'Nic Claxton', 'Patty Mills', 'Kyrie Irving')
BKN		|	('Kessler Edwards', 'James Johnson', 'Blake Griffin', 'Patty Mills', 'Kyrie Irving')
BKN		|	("DeAndre' Bembry", 'Kessler Edwards', 'Blake Griffin', 'Bruce Brown', 'Patty Mills')
BKN		|	('Cam Thomas', 'Kessler Edwards', 'Blake Griffin', 'Patty Mills', 'Kyrie Irving')
BKN		|	('Bruce Brown', 'Kessler Edwards', 'Blake Griffin', 'Patty Mills', 'Kyrie Irving')
BKN		|	('Bruce Brown', 'James Johnson', 'Andre Drummond', 'Seth Curry', 'Kyrie Irving')
BKN		|	('Bruce Brown', 'James Johnson', 'LaMarcus Aldridge', 'Seth Curry', 'Patty Mills')
BKN		|	('Kevin Durant', 'Bruce Brown', 'Andre Drummond', 'Seth Curry', 'Goran Dragic')
BKN		|	('Kevin Durant', 'Bruce Brown', 'Andre Drummond', 'Seth Curry', 'Kyrie Irving')
BKN		|	('Kevin Durant', 'Bruce Brown', 'Andre Drummond', 'Patty Mills', 'Goran Dragic')
BKN		|	('Kevin Durant', 'Bruce Brown', 'Andre Drummond', 'Goran Dragic', 'Kyrie Irving')
BKN		|	('Kevin Durant', 'Bruce Brown', 'Nic Claxton', 'Seth Curry', 'Goran Dragic')
BKN		|	('Kevin Durant', 'Kessler Edwards', 'Andre Drummond', 'Bruce Brown', 'Kyrie Irving')
BKN		|	('Kevin Durant', 'Kessler Edwards', 'Andre Drummond', 'Patty Mills', 'Kyrie Irving')
BKN		|	('Kevin Durant', 'Bruce Brown', 'Andre Drummond', 'Patty Mills', 'Kyrie Irving')
BOS		|	('Jaylen Brown', 'Jayson Tatum', 'Kristaps Porzingis', 'Jrue Holiday', 'Derrick White')
BOS		|	('Jaylen Brown', 'Jayson Tatum', 'Kristaps Porzingis', 'Derrick White', 'Jrue Holiday')
BOS		|	('Jaylen Brown', 'Jayson Tatum', 'Al Horford', 'Derrick White', 'Marcus Smart')
BOS		|	('Jaylen Brown', 'Jayson Tatum', 'Noah Vonleh', 'Derrick White', 'Marcus Smart')
BOS		|	('Jaylen Brown', 'Jayson Tatum', 'Blake Griffin', 'Marcus Smart', 'Derrick White')
BOS		|	('Jayson Tatum', 'Grant Williams', 'Al Horford', 'Jaylen Brown', 'Marcus Smart')
BOS		|	('Grant Williams', 'Jayson Tatum', 'Blake Griffin', 'Derrick White', 'Marcus Smart')
BOS		|	('Grant Williams', 'Jayson Tatum', 'Al Horford', 'Jaylen Brown', 'Derrick White')
BOS		|	('Jayson Tatum', 'Grant Williams', 'Al Horford', 'Jaylen Brown', 'Derrick White')
BOS		|	('Jaylen Brown', 'Grant Williams', 'Al Horford', 'Derrick White', 'Marcus Smart')
BOS		|	('Jayson Tatum', 'Grant Williams', 'Blake Griffin', 'Derrick White', 'Marcus Smart')
BOS		|	('Jayson Tatum', 'Jaylen Brown', 'Blake Griffin', 'Derrick White', 'Marcus Smart')
BOS		|	('Jayson Tatum', 'Grant Williams', 'Blake Griffin', 'Jaylen Brown', 'Marcus Smart')
BOS		|	('Jaylen Brown', 'Jayson Tatum', 'Blake Griffin', 'Derrick White', 'Marcus Smart')
BOS		|	('Jaylen Brown', 'Jayson Tatum', 'Al Horford', 'Derrick White', 'Payton Pritchard')
BOS		|	('Jaylen Brown', 'Jayson Tatum', 'Al Horford', 'Marcus Smart', 'Derrick White')
BOS		|	('Jayson Tatum', 'Al Horford', 'Robert Williams III', 'Jaylen Brown', 'Derrick White')
BOS		|	('Grant Williams', 'Jayson Tatum', 'Robert Williams III', 'Derrick White', 'Marcus Smart')
BOS		|	('Jayson Tatum', 'Al Horford', 'Robert Williams III', 'Derrick White', 'Marcus Smart')
BOS		|	('Jayson Tatum', 'Al Horford', 'Robert Williams III', 'Jaylen Brown', 'Marcus Smart')
BOS		|	('Jaylen Brown', 'Al Horford', 'Robert Williams III', 'Derrick White', 'Marcus Smart')
BOS		|	('Jayson Tatum', 'Al Horford', 'Blake Griffin', 'Jaylen Brown', 'Derrick White')
BOS		|	('Jayson Tatum', 'Al Horford', 'Robert Williams III', 'Sam Hauser', 'Derrick White')
BOS		|	('Jayson Tatum', 'Grant Williams', 'Blake Griffin', 'Jaylen Brown', 'Derrick White')
BOS		|	('Jayson Tatum', 'Grant Williams', 'Robert Williams III', 'Sam Hauser', 'Derrick White')
BOS		|	('Grant Williams', 'Mike Muscala', 'Blake Griffin', 'Sam Hauser', 'Derrick White')
BOS		|	('Jayson Tatum', 'Al Horford', 'Blake Griffin', 'Derrick White', 'Marcus Smart')
BOS		|	('Al Horford', 'Jayson Tatum', 'Robert Williams III', 'Marcus Smart', 'Derrick White')
BOS		|	('Jaylen Brown', 'Mike Muscala', 'Blake Griffin', 'Derrick White', 'Marcus Smart')
BOS		|	('Jayson Tatum', 'Jaylen Brown', 'Al Horford', 'Derrick White', 'Marcus Smart')
BOS		|	('Sam Hauser', 'Jaylen Brown', 'Al Horford', 'Derrick White', 'Marcus Smart')
BOS		|	('Jayson Tatum', 'Grant Williams', 'Al Horford', 'Marcus Smart', 'Derrick White')
BOS		|	('Sam Hauser', 'Mike Muscala', 'Robert Williams III', 'Jaylen Brown', 'Derrick White')
BOS		|	('Sam Hauser', 'Mike Muscala', 'Blake Griffin', 'Derrick White', 'Payton Pritchard')
