Player						|	St.	|	FB	|	FB%
Onyeka Okongwu				|	18	|	1	|	0.056
Dennis Schroder				|	50	|	2	|	0.04
Rodney McGruder				|	12	|	1	|	0.083
Thomas Bryant				|	26	|	2	|	0.077
Austin Rivers				|	10	|	0	|	0.0
Robin Lopez					|	2	|	0	|	0.0
Gary Harris					|	42	|	5	|	0.119
Tim Hardaway Jr.			|	45	|	4	|	0.089
Theo Maledon				|	7	|	0	|	0.0
Caleb Houstan				|	4	|	0	|	0.0
Mamadi Diakite				|	2	|	0	|	0.0
Markelle Fultz				|	60	|	4	|	0.067
Wendell Moore Jr.			|	2	|	0	|	0.0
Zach Collins				|	26	|	3	|	0.115
Trendon Watford				|	11	|	1	|	0.091
Jarrett Culver				|	1	|	1	|	1.0
Jalen Johnson				|	6	|	0	|	0.0
Moritz Wagner				|	18	|	1	|	0.056
Khris Middleton				|	19	|	3	|	0.158
Dyson Daniels				|	11	|	0	|	0.0
Dario Saric					|	12	|	0	|	0.0
Javonte Green				|	1	|	0	|	0.0
David Roddy					|	4	|	2	|	0.5
Ish Wainright				|	2	|	0	|	0.0
Bennedict Mathurin			|	16	|	0	|	0.0
Juan Toscano-Anderson		|	9	|	0	|	0.0
Walker Kessler				|	40	|	5	|	0.125
JaMychal Green				|	1	|	1	|	1.0
Ty Jerome					|	2	|	0	|	0.0
Dru Smith					|	1	|	0	|	0.0
Jalen Duren					|	31	|	3	|	0.097
Nickeil Alexander-Walker	|	3	|	0	|	0.0
Kessler Edwards				|	4	|	0	|	0.0
Markieff Morris				|	2	|	0	|	0.0
Day'Ron Sharpe				|	3	|	0	|	0.0
Patty Mills					|	2	|	1	|	0.5
John Wall					|	3	|	0	|	0.0
Christian Wood				|	17	|	1	|	0.059
Talen Horton-Tucker			|	20	|	2	|	0.1
Trent Forrest				|	3	|	0	|	0.0
Isaiah Roby					|	2	|	0	|	0.0
Landry Shamet				|	9	|	0	|	0.0
Darius Bazley				|	1	|	0	|	0.0
Charles Bassey				|	2	|	0	|	0.0
Taj Gibson					|	2	|	0	|	0.0
Udonis Haslem				|	1	|	0	|	0.0
Moses Brown					|	1	|	1	|	1.0
Bogdan Bogdanovic			|	9	|	2	|	0.222
Naz Reid					|	11	|	1	|	0.091
Moussa Diabate				|	1	|	0	|	0.0
Kemba Walker				|	1	|	0	|	0.0
Eugene Omoruyi				|	6	|	1	|	0.167
Isaiah Joe					|	10	|	1	|	0.1
Damion Lee					|	5	|	1	|	0.2
Victor Oladipo				|	2	|	0	|	0.0
Daniel Gafford				|	47	|	7	|	0.149
Christian Braun				|	7	|	1	|	0.143
Payton Pritchard			|	2	|	0	|	0.0
Immanuel Quickley			|	21	|	3	|	0.143
Pat Connaughton				|	33	|	3	|	0.091
Jaxson Hayes				|	2	|	0	|	0.0
Jock Landale				|	4	|	0	|	0.0
Alex Len					|	2	|	0	|	0.0
